Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
912;Adam Claire;Node_alt_912;1;2019;3;0;0;0
913;Ali Monica;Node_alt_913;1;2006;4;0;0;1
914;Alsanea Rajaa;Node_alt_914;1;2005;4;0;0;0
915;al-Shaykh Hanan;Node_alt_915;1;1992;4;1;0;0
916;Mutis Álvaro;Node_alt_916;0;1993;3;1;0;1
917;Nhật Ánh Nguyễn;Node_alt_917;0;2007;4;1;0;0
918;Arenas Reinaldo;Node_alt_918;0;1992;3;1;0;0
919;Arthurs Alexia;Node_alt_919;1;2018;3;0;0;0
920;Avery Ellis;Node_alt_920;1;2012;2;0;0;0
921;Bader Ali;Node_alt_921;0;2005;4;1;0;0
922;Bangqing Han;Node_alt_922;0;1892;4;1;0;0
923;Barakat Ibtisam;Node_alt_923;1;2012;4;0;0;0
924;Barakat Najwa;Node_alt_924;1;2014;4;1;0;0
925;Barclay Florence L.;Node_alt_925;1;1909;1;0;0;0
926;Barnes Margaret Ayer;Node_alt_926;1;1930;2;0;0;1
927;Bastos Augusto Roa;Node_alt_927;0;1984;3;1;0;0
928;Bennett Arnold;Node_alt_928;0;1908;1;0;0;0
929;Okri Ben;Node_alt_929;0;1993;5;0;0;1
930;Berg Elizabeth;Node_alt_930;1;2000;2;0;0;0
931;Bibish Bibish;Node_alt_931;1;2008;4;1;0;0
